Processing file,Reading requirements file execution time,Parsing requirements execution time,Fetching versions and dependencies execution time,Fetching transitive dependencies execution time,Processing folder error,Generating SMT expression execution time,Proof for UNSAT execution time,Solving SMT expression execution time,Generating requirements.txt execution time,Total (s)
137667,0.003014565,0,0,0,,,,,,0.003014565
1379479,0.010738134,0,0,0,,,,,,0.010738134
1379652,0.001614332,0.001014948,0.00105381,0,,0.059771538,,0.024663925,0.001994133,0.090112686
1381489,0.001528502,0.001012564,0,0.042301416,,3.694544077,,0.141389608,0,3.880776167
1382972,0,0,0,0,,0.01464963,,0.002000809,0,0.016650438
1387470,0.009253025,0,0,0,,0.008444786,,0.002234459,0,0.01993227
1388243,0.001155138,0,0,0,,0.030440331,,0.013167143,0,0.044762611
1390853,0.002160549,0,0,0,,0.023162842,,0.004119873,0,0.029443264
1395810,0.002990007,0,0,0,,0.016401291,,0.002085924,0,0.021477222
139f710ca91ed5fabaf9e6616d2c762b,0.035732746,0,0,0.013321638,,0.487437725,,0.120347023,0,0.656839132
13f02f45a41ad90f454f,0.056460857,0,0,0.000991821,,0.012795687,,0.016820669,0.001202345,0.088271379
1401195,0.062640429,0,0,0,,,,,,0.062640429
1402045,0.001991987,0,0,0,,0.024442434,,0.012090683,0,0.038525105
1402892,0.046281576,0,0.000999928,0.000998259,,0.015539169,,0.019358158,0,0.08317709
1410088,0.01406765,0,0.000185728,0,,0.003315449,,0.00767827,0,0.025247097
1410094,0.006470203,0,0,0,,0,,0.009991169,0.001473665,0.017935038
1411980,0.008868217,0,0,0,,,,,,0.008868217
1417f55cb896a44e68a6,0.005550623,0,0,0,,0.012075663,,0.002004862,0,0.019631147
1423116,0,0,0,0,,,,,,0
1423373,0,0,0,0.008669376,,0.006946325,,0.004178047,0,0.019793749
1424374,0.049189806,0,0,0,,0.014747381,,0.002029657,0,0.065966845
1433392,0.022073507,0,0,0,,,,,,0.022073507
1433794,0.007837296,0,0.001001596,0,,0.018041611,,0.011975288,0.002189398,0.041045189
1435045,0.004224539,0,0,0,,0.013014317,,0.003278494,,0.020517349
1435555,0,0,0,0,,0.013540506,,0,0.000920773,0.014461279
1436671,0.00974226,0,0,0,,0.006023169,,0.003002644,0,0.018768072
143e65a425722dc2f3d0,0.034396887,0,0.000700235,0,,0,,0,0,0.035097122
1440567,0,0,0.009217501,0,,0.031191349,,0.014600754,0,0.055009604
1440754,0.050489426,0,0,0,,,,,,0.050489426
1441019,0,0,0,0,,,,,,0
144747,0.001039267,0,0.001005888,0,,0.021106243,,0.016290426,0,0.039441824
1451300,0.013977528,0,0.000993013,0,,0.005999565,,0.001880646,0,0.022850752
1453629,0.000950575,0,0.001003742,0.000999451,,0.027991772,,0.010802984,0,0.041748524
1459283a9c934cbc41f3,0,0,0,0,,,,,,0
1467584,0,0,0,0,,,,,,0
1473120,0.000997066,0,0.001999617,0.000996351,,0.031307697,,0.012975931,0,0.048276663
1483322,0.011110544,0,0.001009464,0,,0.007369757,,0.002022982,0.001100063,0.02261281
1486762,0.008069754,0,0,0,,,,,,0.008069754
1495011,0.004275084,0,0,0,,,,,,0.004275084
1497850,0.00199914,0,0,0.005125999,,0.55253911,,0.047380209,0,0.607044458
14a8d6bf4783f4704c8a,0.019021511,0,0,0,,0.006430387,,0,0.01194191,0.037393808
14f34c2b8153d9b4f336df8535b3416a,0.00518012,0,0,0.004161119,,0.482924223,,0.047383785,0,0.539649248
1507152,0,0,0,0,,0.021471977,,0,0,0.021471977
1509946,0.013097048,0,0,0,,,,,,0.013097048
1516095,0.007825851,0,0,0,,,,,,0.007825851
1519543,0.00302434,0,0,0,,,,,,0.00302434
1521059,0.007994175,0,0,0,,0,,0.012422562,0.000995636,0.021412373
1522bcdb5b05365c0222,0.003791571,0,0.001012564,0.035241604,,2.456352711,,0.143293142,0.000960588,2.64065218
1526444,0.001997471,0,0.001399994,0,,0.020666838,,0.006903648,0.001974583,0.032942533
152f15b2dadca9a74039aeab944714af,0.001352549,0,0.000952721,0.000474215,,0.006819487,,0.001802683,0.010573387,0.02197504
1534135a419bb0b957b9,0.031577349,0,0,0,,0.472629547,,0.042434931,0,0.546641827
1545255,0.007591486,0,0.002951384,0.001014709,,0.022507906,,0.012316227,0.000745773,0.047127485
1551619,0,0,0,0,,0.014646292,,0.003018141,0,0.017664433
1554441,0.007043839,0,0.001005888,0.000670671,,0.027154207,,0.014540672,0,0.050415277
1556251,0.014686346,0,0,0,,0.00603056,,0.002040386,0.000998497,0.023755789
1558831,0.010177374,0,0,0,,,,,,0.010177374
1561144,0.01493454,0,0,0.002603769,,0.014446497,,0.00401473,0,0.035999537
1567224,0.002017736,0,0,0,,,,,,0.002017736
1572547,0.004144907,0,0,0,,0.007772684,,0.001102924,0.000548363,0.013568878
1574231,0.009559155,0,0.00112462,0,,0.006035566,,0.002991676,0,0.019711018
1589531,0.014822721,0,0.001003027,0,,0.002105236,,0,0.001011133,0.018942118
1590178,0,0,0,0,,0.005537987,,0.0110991,0.003960609,0.020597696
15b3c2a2e9bc7a3c345138a32e029969,0.006468058,0,0,0.023793936,,0.454836369,1.1366961,,,1.621794462
15f0772db25343be0bb7072f15992a4e,0.050140381,0,0,0,,0,,0,0,0.050140381
1600408,0.012448549,0,0,0,,0.019192696,,0.008431673,0,0.040072918
1608287,0.008513212,0,0,0,,,,,,0.008513212
160c990c61c5f527445c,0.008069277,0,0,0,,0.017894506,,0,0.00090003,0.026863813
1610922,0.001042843,0,0,0,,0.005052328,,0.002077103,0,0.008172274
1628838,0.00103426,0,0.002020597,0,,0.021264791,,0.000448465,0,0.024768114
1638546,0.008194208,0,0,0,,0.014938593,,0.002212763,0.00114274,0.026488304
1638695,0.036683559,0,0,0,,,,,,0.036683559
1639941,0.012082815,0,0,0,,,,,,0.012082815
163f5fdf47ab45d7addd,0.037617207,0,0,0,,,,,,0.037617207
1646117,0.015629292,0,0,0,,0.005037785,,0.004201174,0.000995159,0.025863409
1650115,0.009361029,0,0,0,,,,,,0.009361029
1650418,0.00906229,0,0,0,,0.008044481,,0.004290104,0,0.021396875
1653394,0.01225853,0,0,0.011292934,,1.431566477,,0.066306591,0,1.521424532
166499794efcdfde4d00,0.034643412,0,0,0,,0.015704632,,0.01527977,0.025801659,0.091429472
1676440,0.103168488,0,0,0,,0.023463726,,0.008009672,0.001059055,0.135700941
1679110,0.002141714,0,0,0,,,,,,0.002141714
1685139,0.008005142,0,0.000993729,0.011900902,,0.507793903,,0.094912767,0,0.623606443
1685580,0.011009693,0.000957251,0,0.001116753,,0.090001106,,0.010052919,0,0.113137722
1688557,0.012100697,0,0.000994205,0.000706196,,0.016730309,,0.016862154,0.000999689,0.04839325
168c9d74b988391e702aac5f4aa69e41,0,0,0,0,,0,,0,0,0
1693769,0.007613897,0,0.000997782,0,,0.007148504,,0.009334564,0.000998497,0.026093245
1694496,0.002403736,0,0.002288818,0,,0.02829504,,0.014661789,0,0.047649384
16c0eb09d232461a773c22803a3df35e,0,0,0,0,,,,,,0
16ce4914683da30f87d0,0.00129056,0,0,0.001004457,,0.011456013,,0.000731945,0.012984037,0.027467012
16e35ed936bab863a29b,0.01693964,0.000502586,0,0,,,,,,0.017442226
1701305,0.005358696,0,0,0,,,,,,0.005358696
1701845,0.013911724,0,0.002631426,0,,0.020860434,,0.012597561,0.001003742,0.051004887
1702293,0.029989958,0,0,0,,,,,,0.029989958
1705235,0.003932953,0,0,0.007047415,,0.527816296,,0.056960583,0,0.595757246
1707483,0.013982058,0,0.000968456,0.001002073,,0.024636507,,0.012338638,0,0.052927732
1710122,0.019595623,0,0.000999212,0.001997232,,0.058738947,,0.018997908,0.017033815,0.117362738
1714d2952c09b96ba2d8777f1cbf9de1,0.050836325,0,0,0,,0.019649029,,0.00559783,0.003671646,0.079754829
1715202,0.001993179,0,0.000486612,0.000983,,0.027913332,,0.014358759,0,0.045734882
1716699,0.001975298,0,0,0,,,,,,0.001975298
1720032,0.00610733,0,0,0,,0,,0.012821436,0,0.018928766
1722150,0,0,0,0.037353516,,2.505094051,,0.143345833,0,2.6857934
1722465,0.019319057,0,0.000941753,0,,0.01697731,,0.008567333,0.000984907,0.046790361
1722663,0,0,0,0,,,,,,0
1727204,0,0,0,0,,,,,,0
1728255,0.040431499,0,0,0.051042318,,1.578532696,,0.062956572,0.001757145,1.73472023
173778fd95b9e21afd1aa4ed16bb0694,0.01060462,0,,0,,,,,,0.01060462
174056,0.000596285,0,0,0,,0,,0.016777992,0,0.017374277
1748a6676120a0aacea2,0.010358572,0,0.000220537,0,,0.003606796,,0,0,0.014185905
1752014,0.029478073,0,0.00261426,0,,0,,0,0,0.032092333
1757120,0,0,0,0,,,,,,0
1757c55017ef2bfcc070909bdf0e6547,0.011151791,0,0,0,,0.003098488,,0.00084734,0.001610279,0.016707897
1760854,0,0,0,0.010613203,,0.005832672,,0.006977797,0,0.023423672
1761714,0,0.001012325,0,0,,0.023144484,,0.005963564,0.010094404,0.040214777
1766791,0.001033545,0,0,0,,,,,,0.001033545
1771937,0.005717278,0,0,0,,0.030962467,,0.001065254,0.015605688,0.053350687
1773870,0,0,0,0,,0.008262157,,0,0.001012325,0.009274483
1776202,0,0,0.006802797,0,,0.030082941,,0.010825396,0,0.047711134
177e37756c833768a21d446cc4921c6e,0.003559113,0,0.009082079,0.015910625,,0.818152428,,0.067420006,0,0.91412425
1780878,0,0,0,0,,,,,,0
1788517,0.003006697,0,0,0,,,,,,0.003006697
1791644,0.004534721,0,0,0,,,,,,0.004534721
1792428,0.001388788,0,0,0,,,,,,0.001388788
1792732,0.001339197,0,0,0,,0.002894163,,0,0.000761986,0.004995346
1795840,0,0,0,0.042260885,,2.433390379,,0.134019375,0,2.609670639
1805981,0,0,0,0,,,,,,0
1808234,0.020131826,0,0,0,,,,,,0.020131826
1810707,0,0,0,0,,,,,,0
1815146,0.000952721,0,0,0,,,,,,0.000952721
1818351,0.002003193,0,0.001048565,0,,0.027620554,,0.011251688,0,0.041924
1820074,0.018423557,0,0,0,,,,,,0.018423557
1820829,0.011098385,0,0,0.000780582,,0.008163691,,0,0.000609398,0.020652056
1823320,0.008497,0.000926256,0.001978397,0,,0.032325506,,0.014320374,0,0.058047533
18235723e926be0afbdd,0.020771027,0,0,0,,0.005036831,,0.003176928,0,0.028984785
1825401,0.013909101,0,0,0,,,,,,0.013909101
1835224,0.002209902,0,0,0,,0.00599575,,0,0,0.008205652
1844928,0.035918713,0,0,0,,0.021282673,,0.002221107,0.000957012,0.060379505
18531dba2bec928424c0,0.010964632,0,0,0,,0.00759697,,0.005049944,0,0.023611546
1858252,0.009166241,0,0.000996828,0,,0.019443989,,0.010141611,0,0.039748669
1860715,0.012179613,0,0,0,,,,,,0.012179613
1871929,0.001047611,0,0,0,,,,,,0.001047611
1873692,0.00201869,0,0.001007557,0.00112009,,0.022088051,,0.008426905,0.002006769,0.036668062
1876859,0,0,0,0,,,,,,0
1877577,0.047498703,0,0,0,,,,,,0.047498703
187895beb89f0a1b3a54,0.050092936,0,0,0.033475637,,0.478680849,0.896174908,,,1.45842433
1878983,0.015007973,0,0.000743389,0,,0,,0,0.001988649,0.017740011
1879626,0.009024143,0,0,0,,0.030192614,,0.012143373,0.001027584,0.052387714
1882562,0,0,0,0,,0.021064281,,0.00397563,0.001013994,0.026053905
18a73aa5dab4b574e2f5,0.000891447,0,0.001057863,0,,0.024367094,,0.011733294,0.012724161,0.050773859
18a8e06c2b179bb78353fbacfeee82da,0.003046274,0,0,0,,,,,,0.003046274
18e6b6ed5d69b057e773,0.007943153,0,0,0,,,,,,0.007943153
1907f96e6e680bbeb15393d4f441b55e,0.003008842,0.001004934,0,0,,,,,,0.004013777
1911238,0.006728649,0,0,0,,,,,,0.006728649
1912053,0,0,0,0,,,,,,0
19154831c2049a69e8d53dea8cf3e744,0.002640486,0,0,0,,0.03480196,,0.015836954,0.000961542,0.054240942
1918389,0,0,0,0,,,,,,0
1919511,0.01174736,0,0,0,,0.009337425,,0.003087282,0,0.024172068
191d15e28c39246a2525,0.005183697,0,0.002011299,0.001814604,,0.032968044,,0.013142109,0.024083376,0.079203129
1920535,0.004941702,0,0,0,,,,,,0.004941702
1927a29f642593861afc,0.001846313,0,0.001294851,0,,0.009822369,,0.013075352,0.000997782,0.027036667
1928063,0.002042294,0,0.001013994,0,,0.025517702,,0.0125916,0,0.04116559
19284bd220165758a0c953ae25108b6b,0.01706624,0,0.000995159,0,,0.003030062,,0,0.0020082,0.023099661
19317d3e4b9a58f2355e7643040d483a,0.030996561,0,0,0.005519152,,0.369024515,,0.031796694,0.016921997,0.454258919
1935808,0.001171827,0,0,0.010308981,,0.513004303,,0.04186821,0,0.566353321
1940208,0.018963814,0,0,0,,,,,,0.018963814
1943426,0,0,0,0,,0.031009197,,0.010394573,0,0.04140377
1947166,0.002987623,0,0,0,,,,,,0.002987623
1950267,0.002305746,0,0,0,,,,,,0.002305746
1951709,0.001621723,0,0,0,,,,,,0.001621723
1969d4648458cf876af92b3507856d70,0,0,0,0,,,,,,0
1971061,0.009904623,0,0,0,,,,,,0.009904623
1997771,0.000290632,0,0,0,,,,,,0.000290632
19a4b105d1dff9a591b8,0,0,0,0,,,,,,0
19d2397ff8da1952556cf2417d965f6c,0.005099773,0,0,0,,,,,,0.005099773
1a43c785226a06a72872,0,0,0,0,,,,,,0
1ad56b7720af8d706e7f22cbcb8c6d70,0.000983953,0,0,0.021252632,,0.42659235,1.157640457,,,1.606469393
1aefa4509e066690b892,0,0,0,0.01591754,,0.392303228,,0.020374775,0,0.428595543
1b42a20c8f3eb9bb7cb8,0.022325754,0,0,0,,,,,,0.022325754
1b49c03968b2c83897a4a15c78980b18,0.007698298,0,0,0,,0.024955273,,0.005022526,0,0.037676096
1b94c541ffc158d3e668810b75d69405,0.0186584,0,0,0.000995159,,0.016138077,,0.008369207,0,0.044160843
1bd64fbbbc07f2a7634bcb9275929dac,0.00092864,0,0,0,,,,,,0.00092864
1c160c9eee91fd44c587,0.006946802,0,0.001048803,0,,0.00704813,,0,0.00196147,0.017005205
1c3176fe9e38dcaadd1e56c2f15c95d9,0,0,0,0.043071508,,2.391696692,,0.123001099,0,2.557769299
1c48360bde201b3d54ab,0,0,0,0,,,,,,0
1c9b352ba19b5e33f9c4,0.001098156,0,0,0,,,,,,0.001098156
1cae669defce037511ada4e0ed01b3cd,0.008123159,0,0,0,,,,,,0.008123159
1cb4d81fed37fd06ef60d08c1181f557,0.008664608,0,0,0.003457069,,0.457921505,,0.03071332,0,0.500756502
1cb65c4b5be2575ea3ab,0,0,0,0,,,,,,0
1cd6ce82490d2c0f2e0a,0.002016783,0,0,0,,,,,,0.002016783
1cec2b3d8aeaaa102e3b,0,0,0,0,,,,,,0
1d08fa7af5ab846211ace2447e1e3e8a,0.001047611,0,0,0,,,,,,0.001047611
1d596ca757a541da96ac3caa6f291229,0.005312681,0,0,0.009070635,,0.399744034,0.894957066,,,1.309084415
1d5b3ad08201b7df48c7f25a169d0021,0,0,0,0.016694784,,0.463175058,,0.055948973,0.001456499,0.537275314
1d7cb531bb8fff8c228b7710126bcc33,0.007002592,0,0,0,,0.002126932,,0,0.000996828,0.010126352
1d878d0401b28b281eb75016ed29f2ee,0,0,0.006402731,0.009170532,,0.420683861,1.183488369,,,1.619745493
1da13f548200d9fb2b06,0.051687241,0,0,0,,0.022560358,,0,0.000853539,0.075101137
1ddc318b4124ed152f6d,0,0,0,0,,0.029187679,,0.011543274,0,0.040730953
1df6d34cd1b2861eb6b7432ee7245ccd,0,0,0,0,,,,,,0
1e1d383fb21841e8f144,0.00214076,0,0,0.008018255,,0.438930511,,0.037137508,0,0.486227036
1e2600ed62d5e76b21ee,0.032764196,0,0,0,,0.053321123,,0.014625072,0.017224312,0.117934704
1e5404260b7e3a8ba4ba0a0d62c0cf75,0.001983643,0,0,0,,,,,,0.001983643
1e58686b6d5193cbaf30,0.011642218,0,0,0.001025677,,0.008720398,,0.006012678,0,0.02740097
1e7c18c6f6eda87f1cb4995b0e6a22a5,0.001026869,0,0,0.001005888,,0.03278327,,0.002067327,0.00100565,0.037889004
1e7c794842755683162b,0.032704353,0,0,0,,0.013591051,,0.007055759,0.001001358,0.054352522
1e7e3c1da32d00f8ce0dff6b86fd45fe,0.009441137,0.001013756,0,0,,0.006919384,,0,0.001935959,0.019310236
1e8ab5bcf1a3af2c20de,0.027606487,0,0,0.02136755,,0.285286427,,0.015681028,0,0.349941492
1ebaeaaa7f7408647fef,0.003160715,0,0,0,,,,,,0.003160715
1ed9763ab4aa98516a7d,0.002300739,0,0,0,,0.0334692,,0.013807058,0,0.049576998
1f140573b37939e78eb5,0.002067327,0,0,0,,0.007025003,,0.00204134,0.001041412,0.012175083
1f66e4d58074d64c8268,0.012758493,0,0,0,,0.001449823,,0,0.001754999,0.015963316
